Player,year,Old Club,New Club,AAV,Win_Pct,Attendance,Age,Is_Left_Handed,ERA,WHIP,SO,IP,ERA_league,WHIP_league
배영수,2011,삼성,삼성,8.5,0.594,455246,29,0,4.74,1.45,64,119.2,4.6,1.45
정재훈,2012,두산,두산,7.0,0.466,1253735,31,0,2.87,1.1,65,62.2,4.16,1.41
이상열,2012,LG,LG,3.0,0.45,1191715,34,1,3.89,1.3,27,44.0,4.16,1.41
이승호,2012,SK,SK,1.0,0.546,998660,35,1,4.2,1.42,51,60.0,4.16,1.41
이정훈,2013,넥센,넥센,2.5,0.469,599381,35,0,4.67,1.4,32,44.1,3.82,1.34
유동훈,2013,기아,기아,3.75,0.488,502016,35,0,5.29,1.26,29,34.0,3.82,1.34
마일영,2013,한화,한화,2.666666667,0.408,519794,31,1,5.55,1.69,31,61.2,3.82,1.34
장원삼,2014,삼성,삼성,15.0,0.595,451483,30,1,4.38,1.34,104,154.0,4.32,1.44
강영식,2014,롯데,롯데,4.25,0.532,770731,32,1,3.86,1.29,40,39.2,4.32,1.44
박정진,2014,한화,한화,4.0,0.331,386893,37,1,5.82,1.43,21,21.2,4.32,1.44
윤성환,2015,삼성,삼성,20.0,0.624,505045,33,0,4.39,1.37,133,170.1,5.21,1.56
안지만,2015,삼성,삼성,16.25,0.624,505045,31,0,3.75,1.3,67,62.1,5.21,1.56
이재영,2015,SK,SK,2.75,0.484,829822,35,0,6.19,1.52,42,48.0,5.21,1.56
송승준,2016,롯데,롯데,22.5,0.462,800962,35,0,4.75,1.42,112,125.0,4.87,1.49
마정길,2016,넥센,넥센,10.0,0.545,510802,36,0,5.06,1.42,33,37.1,4.87,1.49
이동현,2016,LG,LG,3.1,0.451,1053405,32,0,4.4,1.43,55,59.1,4.87,1.49
채병용,2016,SK,SK,10.0,0.486,814349,33,0,6.07,1.57,78,83.0,4.87,1.49
김광현,2017,SK,SK,3.5,0.479,865194,28,1,3.88,1.31,116,137.0,5.17,1.56
이현승,2017,두산,두산,21.25,0.65,1165020,33,1,4.84,1.42,41,57.2,5.17,1.56
양현종,2017,기아,기아,9.0,0.49,773499,28,1,3.68,1.34,146,200.1,5.17,1.56
권오준,2018,삼성,삼성,22.5,0.396,704857,37,0,5.14,1.27,55,56.0,4.97,1.48
박정진,2018,한화,한화,3.0,0.43,593251,41,1,3.94,1.29,51,48.0,4.97,1.48
김승회,2018,두산,두산,3.75,0.596,1094829,36,0,4.96,1.49,41,69.0,4.97,1.48
안영명,2018,한화,한화,1.5,0.43,593251,33,0,5.75,1.72,54,87.2,4.97,1.48
금민철,2019,KT,KT,6.0,0.418,668559,32,1,5.41,1.79,79,156.1,5.17,1.49
윤성환,2019,삼성,삼성,3.5,0.486,752310,37,0,6.98,1.67,89,117.1,5.17,1.49
이보근,2019,키움,키움,10.0,0.521,454574,32,0,4.28,1.31,54,61.0,5.17,1.49
노경은,2019,롯데,롯데,4.75,0.479,901634,34,0,4.08,1.19,89,132.1,5.17,1.49
정우람,2020,한화,한화,5.5,0.403,555225,34,1,1.54,1.25,48,58.1,4.17,1.4
송은범,2020,LG,LG,9.75,0.552,1000400,35,0,5.14,1.63,15,35.0,4.17,1.4
진해수,2020,LG,LG,5.0,0.552,1000400,33,1,3.43,1.43,38,42.0,4.17,1.4
윤규진,2020,한화,한화,4.666666667,0.403,555225,35,0,10.38,1.62,1,4.1,4.17,1.4
오주원,2020,키움,키움,2.5,0.601,453886,34,1,2.32,1.12,41,54.1,4.17,1.4
고효준,2020,롯데,롯데,3.5,0.34,679208,36,1,4.76,1.51,72,62.1,4.17,1.4
임경완,2012,롯데,SK,1.2,0.563,1358322,36,0,3.15,1.14,34,65.2,4.16,1.41
이승호,2012,SK,롯데,6.0,0.546,998660,30,1,3.5,1.48,50,64.1,4.16,1.41
정대현,2012,SK,롯데,9.0,0.546,998660,33,0,1.48,1.24,39,54.2,4.16,1.41
송신영,2012,LG,한화,4.333333333,0.45,1191715,34,0,2.36,1.29,40,49.2,4.16,1.41
정현욱,2013,삼성,LG,7.15,0.611,544859,34,0,3.16,1.24,48,62.2,3.82,1.34
권혁,2015,삼성,한화,8.0,0.624,505045,31,1,2.86,1.1,38,34.2,5.21,1.56
장원준,2015,롯데,두산,21.0,0.457,830820,29,1,4.59,1.46,107,155.0,5.21,1.56
송은범,2015,기아,한화,8.5,0.422,663430,30,0,7.32,2.0,60,78.2,5.21,1.56
배영수,2015,삼성,한화,7.0,0.624,505045,33,0,5.45,1.57,111,133.2,5.21,1.56
김사율,2015,롯데,KT,3.625,0.457,830820,34,0,5.79,1.58,71,79.1,5.21,1.56
윤길현,2016,SK,롯데,9.5,0.486,814349,32,0,3.16,1.5,62,62.2,4.87,1.49
손승락,2016,넥센,롯데,15.0,0.545,510802,33,0,3.82,1.4,63,61.1,4.87,1.49
정우람,2016,SK,한화,21.0,0.486,814349,30,1,3.21,1.14,90,70.0,4.87,1.49
심수창,2016,롯데,한화,3.25,0.462,800962,34,0,6.01,1.75,76,73.1,4.87,1.49
우규민,2017,LG,삼성,16.25,0.5,1157646,31,0,4.91,1.53,81,132.0,5.17,1.56
차우찬,2017,삼성,LG,23.75,0.455,851417,29,1,4.73,1.53,120,152.1,5.17,1.56
